name,volume,wall_thickness,manifold,positive_volume,no_intersections,thick_walls
/data/csc4801/KedzioraLab/thingiverse/bathtub/stls/Dolls'_House/furniture4.stl,,,False,True,False,True
/data/csc4801/KedzioraLab/thingiverse/bathtub/stls/Dolls'_House/furniture6.stl,,,False,True,False,True
/data/csc4801/KedzioraLab/thingiverse/bathtub/stls/Dolls'_House/piece1.stl,,,False,True,False,True
/data/csc4801/KedzioraLab/thingiverse/bathtub/stls/Dolls'_House/piece3.stl,,,False,True,False,True
/data/csc4801/KedzioraLab/thingiverse/bathtub/stls/Dolls'_House/piece5.stl,,,False,True,True,True
/data/csc4801/KedzioraLab/thingiverse/bathtub/stls/Dolls'_House/furniture7.stl,,,False,True,True,True
/data/csc4801/KedzioraLab/thingiverse/bathtub/stls/Dolls'_House/furniture5.stl,,,False,True,True,True
/data/csc4801/KedzioraLab/thingiverse/bathtub/stls/Aircraft_Carrier_Bathtub_Battlers/Funky_Luulia-Hango_1.stl,,,False,True,True,True
/data/csc4801/KedzioraLab/thingiverse/bathtub/stls/Catamaran_Balloon_Boat/catamaran_balloon_boat.stl,,,False,True,True,True
/data/csc4801/KedzioraLab/thingiverse/bathtub/stls/Toy_tugboat/TugBoat_Fixed.stl,,,False,True,True,True
/data/csc4801/KedzioraLab/thingiverse/bathtub/stls/Tamiya_LiPo_battery_holder_for_bathtub_chassis_CC01_TA01-2-3_DF01_FF01/battery-monitor-case.stl,,,False,True,True,True
/data/csc4801/KedzioraLab/thingiverse/bathtub/stls/Tamiya_LiPo_battery_holder_for_bathtub_chassis_CC01_TA01-2-3_DF01_FF01/lipo-holder-part-a.stl,,,False,True,True,True
/data/csc4801/KedzioraLab/thingiverse/beds/stls/Bed_Leveling_Tool/Fixed_Slider.stl,,0.1805487932113741,True,True,True,False
/data/csc4801/KedzioraLab/thingiverse/beds/stls/Bed_Leveling_Tool/Test_Base_Profile.stl,,0.05774807539582856,True,True,True,False
